,drift_rate,f_start,snr,driftrate_idx,channel_idx,beam_idx,boxcar_size,n_integration
4731,-7.127034869132662,8420.88680807501,16208996.0,745.0,178925.0,0.0,8.0,16.0
4768,-3.9413937799767202,8420.865724794567,16207558.0,412.0,186471.0,0.0,8.0,16.0
4921,-4.084891126335096,8420.781481079757,16207115.0,427.0,216623.0,0.0,8.0,16.0
5071,-7.80625564189564,8420.689953491092,16207108.0,816.0,249382.0,0.0,8.0,16.0
4619,-0.5070239571329276,8420.947892591357,16206889.0,53.0,157062.0,0.0,8.0,16.0
5068,-4.132723575121221,8420.691724866629,16206101.0,432.0,248748.0,0.0,8.0,16.0
4778,-4.429284757595198,8420.860041864216,16205868.0,463.0,188505.0,0.0,8.0,16.0
4832,-1.6454362382427086,8420.830864459276,16205704.0,172.0,198948.0,0.0,8.0,16.0
5052,-6.036455036809006,8420.701372437179,16205635.0,631.0,245295.0,0.0,8.0,16.0
4971,-0.5452899161618278,8420.751253142953,16205475.0,57.0,227442.0,0.0,8.0,16.0
5026,-6.830473686658685,8420.715674757957,16205162.0,714.0,240176.0,0.0,8.0,16.0
4787,-2.162026685132861,8420.855378732085,16204844.0,226.0,190174.0,0.0,8.0,16.0
4739,-3.692665046288869,8420.881882309914,16204291.0,386.0,180688.0,0.0,8.0,16.0
5039,-6.5626119734563835,8420.70853896439,16204228.0,686.0,242730.0,0.0,8.0,16.0
4656,-2.2576915827051116,8420.926071703434,16204195.0,236.0,164872.0,0.0,8.0,16.0
4716,-7.528827438936114,8420.895092189312,16203907.0,787.0,175960.0,0.0,8.0,16.0
4927,-3.3482714150287674,8420.778407715261,16203829.0,350.0,217723.0,0.0,8.0,16.0
5061,-6.352149198797433,8420.695547014475,16203321.0,664.0,247380.0,0.0,8.0,16.0
4609,-1.5210718713987827,8420.954262837768,16203160.0,159.0,154782.0,0.0,8.0,16.0
4980,-3.5587341896877183,8420.746933668852,16202948.0,372.0,228988.0,0.0,8.0,16.0
5005,-4.391018798566297,8420.729977078736,16202934.0,459.0,235057.0,0.0,8.0,16.0
4855,-7.480994990149989,8420.81843689084,16202679.0,782.0,203396.0,0.0,8.0,16.0
5066,-7.567093397965014,8420.692850835621,16202587.0,791.0,248345.0,0.0,8.0,16.0
4995,-2.0567952978033857,8420.73580250144,16202368.0,215.0,232972.0,0.0,8.0,16.0
4814,-5.8833912006934055,8420.840481296182,16202229.0,615.0,195506.0,0.0,8.0,16.0
4910,-4.668447001525824,8420.78753001988,16202054.0,488.0,214458.0,0.0,8.0,16.0
4805,-3.118675660855366,8420.845203101635,16201149.0,326.0,193816.0,0.0,8.0,16.0
4917,-1.6167367689710332,8420.782908797264,16200985.0,169.0,216112.0,0.0,8.0,16.0
4773,-7.5001279696644385,8420.86348682642,16200744.0,784.0,187272.0,0.0,8.0,16.0
4585,-2.8316809681386146,8420.966466888785,16200631.0,296.0,150414.0,0.0,8.0,16.0
4640,-2.9560453349825404,8420.935777947307,16200469.0,309.0,161398.0,0.0,8.0,16.0
5111,-4.993707653271476,8420.66674400121,16200399.0,522.0,257689.0,0.0,8.0,16.0
4617,-7.194000297433237,8420.94887048006,16200085.0,752.0,156712.0,0.0,8.0,16.0
4868,-6.399981647583558,8420.810395851731,16199914.0,669.0,206274.0,0.0,8.0,16.0
4680,-5.768593323606705,8420.914359390736,16199464.0,603.0,169064.0,0.0,8.0,16.0
4627,-5.682494915791679,8420.943553559482,16199442.0,594.0,158615.0,0.0,8.0,16.0
5045,-7.127034869132662,8420.704683288932,16199350.0,745.0,244110.0,0.0,8.0,16.0
4893,-5.912090669965081,8420.796543359756,16199142.0,618.0,211232.0,0.0,8.0,16.0
5070,-0.0956648975722505,8420.690526254475,16199108.0,10.0,249177.0,0.0,8.0,16.0
4922,-1.7028351767860588,8420.780846849084,16198878.0,178.0,216850.0,0.0,8.0,16.0
5109,-7.873221070196215,8420.667629688978,16198715.0,823.0,257372.0,0.0,8.0,16.0
4702,-6.486080055398584,8420.902736485004,16198460.0,678.0,173224.0,0.0,8.0,16.0
4816,-1.377574525040407,8420.839676633477,16198122.0,144.0,195794.0,0.0,8.0,16.0
5016,-3.061276722312016,8420.722793787718,16197759.0,320.0,237628.0,0.0,8.0,16.0
4889,-1.6645692177571585,8420.798541046679,16197729.0,174.0,210517.0,0.0,8.0,16.0
4596,-7.461862010635539,8420.961018651724,16197581.0,780.0,152364.0,0.0,8.0,16.0
4687,-5.81642577239283,8420.910897664726,16196632.0,608.0,170303.0,0.0,8.0,16.0
4916,-3.692665046288869,8420.783649198711,16196415.0,386.0,215847.0,0.0,8.0,16.0
4776,-2.6307846832368886,8420.861536636949,16195669.0,275.0,187970.0,0.0,8.0,16.0
4637,-0.7174867317918787,8420.937395654619,16195536.0,75.0,160819.0,0.0,8.0,16.0
5090,-6.677409850543085,8420.67978065461,16195520.0,698.0,253023.0,0.0,8.0,16.0
4748,-2.0280958285317103,8420.876925811172,16195140.0,212.0,182462.0,0.0,8.0,16.0
4847,-5.491165120647178,8420.822273008525,16194819.0,574.0,202023.0,0.0,8.0,16.0
4930,-7.069635930589311,8420.776491053402,16194666.0,739.0,218409.0,0.0,8.0,16.0
4784,-5.232869897202102,8420.8570048213,16194307.0,547.0,189592.0,0.0,8.0,16.0
4742,-2.181159664647311,8420.879915356636,16194250.0,228.0,181392.0,0.0,8.0,16.0
5110,-3.6543990872599688,8420.667040161788,16194092.0,382.0,257583.0,0.0,8.0,16.0
4651,-0.573989385433503,8420.929307118058,16193771.0,60.0,163714.0,0.0,8.0,16.0
4962,-0.7079202420346536,8420.756880193949,16193741.0,74.0,225428.0,0.0,8.0,16.0
5093,-2.0567952978033857,8420.676687732339,16193721.0,215.0,254130.0,0.0,8.0,16.0
5092,-5.711194385063354,8420.677808113396,16193596.0,597.0,253729.0,0.0,8.0,16.0
5114,-7.079202420346537,8420.664665289223,16193140.0,740.0,258433.0,0.0,8.0,16.0
5055,-7.65319180578004,8420.699601061642,16192676.0,800.0,245929.0,0.0,8.0,16.0
4697,-5.299835325502677,8420.905259437859,16192439.0,554.0,172321.0,0.0,8.0,16.0
4620,-6.983537522774286,8420.946998521686,16192145.0,730.0,157382.0,0.0,8.0,16.0
4738,-4.649314022011374,8420.88279593736,16192081.0,486.0,180361.0,0.0,8.0,16.0
5000,-3.2143405584276166,8420.732558704913,16192013.0,336.0,234133.0,0.0,8.0,16.0
4724,-4.285787411236822,8420.889881439507,16191634.0,448.0,177825.0,0.0,8.0,16.0
5116,-7.844521600924541,8420.663243159652,16191528.0,820.0,258942.0,0.0,8.0,16.0
4982,-3.520468230658818,8420.745614916086,16191179.0,368.0,229460.0,0.0,8.0,16.0
5019,-0.32526065174565166,8420.720891095698,16191172.0,34.0,238309.0,0.0,8.0,16.0
4983,-2.745582560323589,8420.745159499347,16191044.0,287.0,229623.0,0.0,8.0,16.0
